timestamp,model,profile,task,fixture,input_tokens,output_tokens,latency_ms,cost_usd,finish_reason
2026-06-26T10:05:30.084066+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/review.md,fixtures/python/main.py,388,689,8906,0.0003144,stop
2026-06-26T10:16:57.447141+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/review.md,fixtures/python/main.py,388,661,5219,0.0003032,stop
2026-06-26T10:17:05.839752+00:00,google/gemini-2.5-flash-lite,profiles/distilled.md,tasks/review.md,fixtures/python/main.py,412,1695,8360,0.0007192,stop
2026-06-26T10:17:25.424741+00:00,google/gemini-2.5-flash-lite,profiles/ultra.md,tasks/review.md,fixtures/python/main.py,350,935,19531,,stop
2026-06-26T10:17:45.120716+00:00,google/gemini-2.5-flash-lite,profiles/investigation.md,tasks/review.md,fixtures/python/main.py,0,0,19672,,error
2026-06-26T10:17:55.894992+00:00,google/gemini-2.5-flash-lite,profiles/reviewer.md,tasks/review.md,fixtures/python/main.py,362,1776,10766,0.0007466,stop
BM-0001,2026-06-26T11:02:48.657649+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/investigate.md,fixtures/python-investigation,1057,680,12484,,stop,,,,,
BM-0002,2026-06-26T11:02:53.318359+00:00,google/gemini-2.5-flash-lite,profiles/distilled.md,tasks/investigate.md,fixtures/python-investigation,1079,55,4610,0.0001299,stop,,,,,
BM-0003,2026-06-26T11:22:55.892783+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/investigate.md,fixtures/dotnet-investigation,1259,236,5235,0.0002203,stop,,,,,
BM-0004,2026-06-26T11:22:58.937078+00:00,google/gemini-2.5-flash-lite,profiles/distilled.md,tasks/investigate.md,fixtures/dotnet-investigation,1283,265,2969,0.0002343,stop,,,,,
BM-0005,2026-06-26T11:25:51.118780+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/investigate.md,fixtures/dotnet-investigation,1259,236,3671,0.0002203,stop,,,,,
BM-0006,2026-06-26T11:26:02.962698+00:00,google/gemini-2.5-flash-lite,profiles/distilled.md,tasks/investigate.md,fixtures/dotnet-investigation,1285,266,11828,,stop,,,,,
BM-0007,2026-06-26T11:26:05.781503+00:00,google/gemini-2.5-flash-lite,profiles/ultra.md,tasks/investigate.md,fixtures/dotnet-investigation,1219,84,2765,0.0001555,stop,,,,,
BM-0008,2026-06-26T11:26:12.774325+00:00,google/gemini-2.5-flash-lite,profiles/investigation.md,tasks/investigate.md,fixtures/dotnet-investigation,1255,930,6968,0.0004975,stop,,,,,
BM-0009,2026-06-26T11:26:17.579047+00:00,google/gemini-2.5-flash-lite,profiles/reviewer.md,tasks/investigate.md,fixtures/dotnet-investigation,1233,698,4750,0.0004025,stop,,,,,
BM-0010,2026-06-26T11:30:53.515808+00:00,google/gemini-2.5-flash,profiles/baseline.md,tasks/investigate.md,fixtures/dotnet-investigation,1261,165,4047,,stop,,,,,
BM-0011,2026-06-26T11:30:56.615125+00:00,google/gemini-2.5-flash,profiles/distilled.md,tasks/investigate.md,fixtures/dotnet-investigation,1285,88,3078,,stop,,,,,
BM-0012,2026-06-26T11:31:02.388886+00:00,google/gemini-2.5-flash,profiles/ultra.md,tasks/investigate.md,fixtures/dotnet-investigation,1221,193,5750,,stop,,,,,
BM-0013,2026-06-26T11:31:10.216297+00:00,google/gemini-2.5-flash,profiles/investigation.md,tasks/investigate.md,fixtures/dotnet-investigation,1257,1158,7797,,stop,,,,,
BM-0014,2026-06-26T11:31:16.209284+00:00,google/gemini-2.5-flash,profiles/reviewer.md,tasks/investigate.md,fixtures/dotnet-investigation,1235,759,5985,,stop,,,,,
BM-0015,2026-06-26T12:10:57.429284+00:00,google/gemini-2.5-flash,profiles/baseline.md,tasks/review.md,fixtures/dotnet-investigation,1234,1094,8516,,stop,,,,,
BM-0016,2026-06-26T12:11:03.712905+00:00,google/gemini-2.5-flash,profiles/distilled.md,tasks/review.md,fixtures/dotnet-investigation,1258,832,6219,,stop,,,,,
BM-0017,2026-06-26T12:11:09.282243+00:00,google/gemini-2.5-flash,profiles/ultra.md,tasks/review.md,fixtures/dotnet-investigation,1194,669,5515,,stop,,,,,
BM-0018,2026-06-26T12:11:17.573985+00:00,google/gemini-2.5-flash,profiles/investigation.md,tasks/review.md,fixtures/dotnet-investigation,1230,1197,8234,,length,,,,,
BM-0019,2026-06-26T12:11:26.156877+00:00,google/gemini-2.5-flash,profiles/reviewer.md,tasks/review.md,fixtures/dotnet-investigation,1208,1194,8515,,length,,,,,
BM-0020,2026-06-26T12:11:31.589234+00:00,google/gemini-2.5-flash-lite,profiles/baseline.md,tasks/review.md,fixtures/dotnet-investigation,1232,724,5422,0.0004128,stop,,,,,
BM-0021,2026-06-26T12:11:36.353417+00:00,google/gemini-2.5-flash-lite,profiles/distilled.md,tasks/review.md,fixtures/dotnet-investigation,1256,610,4688,0.0003696,stop,,,,,
BM-0022,2026-06-26T12:11:41.443723+00:00,google/gemini-2.5-flash-lite,profiles/ultra.md,tasks/review.md,fixtures/dotnet-investigation,1192,668,5047,0.0003864,stop,,,,,
BM-0023,2026-06-26T12:11:47.292337+00:00,google/gemini-2.5-flash-lite,profiles/investigation.md,tasks/review.md,fixtures/dotnet-investigation,1228,1139,5813,0.0005784,length,,,,,
BM-0024,2026-06-26T12:11:53.197489+00:00,google/gemini-2.5-flash-lite,profiles/reviewer.md,tasks/review.md,fixtures/dotnet-investigation,1206,1200,5859,0.0006006,length,,,,,
BM-0025,2026-06-26T12:12:09.487453+00:00,deepseek/deepseek-v4-flash,profiles/baseline.md,tasks/review.md,fixtures/dotnet-investigation,1092,1190,16203,0.00045788736,stop,,,,,
BM-0026,2026-06-26T12:12:31.406245+00:00,deepseek/deepseek-v4-flash,profiles/distilled.md,tasks/review.md,fixtures/dotnet-investigation,1109,792,21906,0.00037702,stop,,,,,
BM-0027,2026-06-26T12:12:43.075452+00:00,deepseek/deepseek-v4-flash,profiles/ultra.md,tasks/review.md,fixtures/dotnet-investigation,1050,1192,11656,0.000336532,stop,,,,,
